year,session,title,abstract,author,doi
2009,N/A,"Temporal Summaries: Supporting Temporal Categorical Searching, Aggregation and Comparison.",N/A,"Taowei David Wang,Catherine Plaisant,Ben Shneiderman,Neil Spring,David Roseman,Greg Marchand,Vikramjit Mukherjee,Mark S. Smith",https://doi.org/10.1109/TVCG.2009.187
2009,N/A,ResultMaps: Visualization for Search Interfaces.,N/A,"Edward Clarkson,Krishna Desai,James D. Foley",https://doi.org/10.1109/TVCG.2009.176
2009,N/A,Lark: Coordinating Co-located Collaboration with Information Visualization.,N/A,"Matthew Tobiasz,Petra Isenberg,Sheelagh Carpendale",https://doi.org/10.1109/TVCG.2009.162
2009,N/A,The Benefits of Synchronous Collaborative Information Visualization: Evidence from an Experimental Evaluation.,N/A,"Sabrina Bresciani,Martin J. Eppler",https://doi.org/10.1109/TVCG.2009.188
2009,N/A,Harnessing the Information Ecosystem with Wiki-based Visualization Dashboards.,N/A,Matt McKeon,https://doi.org/10.1109/TVCG.2009.148
2009,N/A,SpicyNodes: Radial Layout Authoring for the General Public.,N/A,"Michael Douma,Grzegorz Ligierko,Ovidiu Ancuta,Pavel Gritsai,Sean Liu",https://doi.org/10.1109/TVCG.2009.183
2009,N/A,code_swarm: A Design Study in Organic Software Visualization.,N/A,"Michael Ogawa,Kwan-Liu Ma",https://doi.org/10.1109/TVCG.2009.123
2009,N/A,Towards Utilizing GPUs in Information Visualization: A Model and Implementation of Image-Space Operations.,N/A,"Bryan McDonnel,Niklas Elmqvist",https://doi.org/10.1109/TVCG.2009.191
2009,N/A,A Multi-Threading Architecture to Support Interactive Visual Exploration.,N/A,"Harald Piringer,Christian Tominski,Philipp Muigg,Wolfgang Berger",https://doi.org/10.1109/TVCG.2009.110
2009,N/A,Protovis: A Graphical Toolkit for Visualization.,N/A,"Michael Bostock,Jeffrey Heer",https://doi.org/10.1109/TVCG.2009.174
2009,N/A,Visual Analysis of Inter-Process Communication for Large-Scale Parallel Computing.,N/A,"Chris Muelder,François Gygi,Kwan-Liu Ma",https://doi.org/10.1109/TVCG.2009.196
2009,N/A,Participatory Visualization with Wordle.,N/A,"Fernanda B. Viégas,Martin Wattenberg,Jonathan Feinberg",https://doi.org/10.1109/TVCG.2009.171
2009,N/A,Document Cards: A Top Trumps Visualization for Documents.,N/A,"Hendrik Strobelt,Daniela Oelke,Christian Rohrdantz,Andreas Stoffel,Daniel A. Keim,Oliver Deussen",https://doi.org/10.1109/TVCG.2009.139
2009,N/A,Visualizing the Intellectual Structure with Paper-Reference Matrices.,N/A,"Jian Zhang,Chaomei Chen,Jiexun Li",https://doi.org/10.1109/TVCG.2009.202
2009,N/A,Exemplar-based Visualization of Large Document Corpus (InfoVis2009-1115).,N/A,"Yanhua Chen,Lijun Wang,Ming Dong,Jing Hua",https://doi.org/10.1109/TVCG.2009.140
2009,N/A,Mapping Text with Phrase Nets.,N/A,"Frank van Ham,Martin Wattenberg,Fernanda B. Viégas",https://doi.org/10.1109/TVCG.2009.165
2009,N/A,Loop surgery for volumetric meshes: Reeb graphs reduced to contour trees.,N/A,"Julien Tierny,Attila Gyulassy,Eddie Simon,Valerio Pascucci",https://doi.org/10.1109/TVCG.2009.163
2009,N/A,Applying Manifold Learning to Plotting Approximate Contour Trees.,N/A,"Shigeo Takahashi,Issei Fujishiro,Masato Okada",https://doi.org/10.1109/TVCG.2009.119
2009,N/A,Intrinsic Geometric Scale Space by Shape Diffusion.,N/A,"Guangyu Zou,Jing Hua,Zhaoqiang Lai,Xianfeng Gu,Ming Dong",https://doi.org/10.1109/TVCG.2009.159
2009,N/A,Multi-Scale Surface Descriptors.,N/A,"Gregory Cipriano,George N. Phillips Jr.,Michael Gleicher",https://doi.org/10.1109/TVCG.2009.168
2009,N/A,A User Study to Compare Four Uncertainty Visualization Methods for 1D and 2D Datasets.,N/A,"Jibonananda Sanyal,Song Zhang,Gargi Bhattacharya,Philip Amburn,Robert J. Moorhead",https://doi.org/10.1109/TVCG.2009.114
2009,N/A,Comparing 3D Vector Field Visualization Methods: A User Study.,N/A,"Andrew S. Forsberg,Jian Chen,David H. Laidlaw",https://doi.org/10.1109/TVCG.2009.126
2009,N/A,Verifiable Visualization for Isosurface Extraction.,N/A,"Tiago Etiene,Carlos Eduardo Scheidegger,Luis Gustavo Nonato,Robert M. Kirby,Cláudio T. Silva",https://doi.org/10.1109/TVCG.2009.194
2009,N/A,Curve-Centric Volume Reformation for Comparative Visualization.,N/A,"Ove Daae Lampe,Carlos D. Correa,Kwan-Liu Ma,Helwig Hauser",https://doi.org/10.1109/TVCG.2009.136
2009,N/A,Predictor-Corrector Schemes for Visualization ofSmoothed Particle Hydrodynamics Data.,N/A,"Benjamin Schindler,Raphael Fuchs,John Biddiscombe,Ronald Peikert",https://doi.org/10.1109/TVCG.2009.173
2009,N/A,Exploring the Millennium Run - Scalable Rendering of Large-Scale Cosmological Datasets.,N/A,"Roland Fraedrich,Jens Schneider,Rüdiger Westermann",https://doi.org/10.1109/TVCG.2009.142
2009,N/A,Interactive Streak Surface Visualization on the GPU.,N/A,"Kai Bürger,Florian Ferstl,Holger Theisel,Rüdiger Westermann",https://doi.org/10.1109/TVCG.2009.154
2009,N/A,Time and Streak Surfaces for Flow Visualization in Large Time-Varying Data Sets.,N/A,"Harinarayan Krishnan,Christoph Garth,Kenneth I. Joy",https://doi.org/10.1109/TVCG.2009.190
2009,N/A,Hue-Preserving Color Blending.,N/A,"Johnson Chuang,Daniel Weiskopf,Torsten Möller",https://doi.org/10.1109/TVCG.2009.150
2009,N/A,Perception-Based Transparency Optimization for Direct Volume Rendering.,N/A,"Ming-Yuen Chan,Yingcai Wu,Wai-Ho Mak,Wei Chen,Huamin Qu",https://doi.org/10.1109/TVCG.2009.172
2009,N/A,A Physiologically-based Model for Simulation of Color Vision Deficiency.,N/A,"Gustavo M. Machado,Manuel M. Oliveira,Leandro A. F. Fernandes",https://doi.org/10.1109/TVCG.2009.113
2009,N/A,Depth-Dependent Halos: Illustrative Rendering of Dense Line Data.,N/A,"Maarten H. Everts,Henk Bekker,Jos B. T. M. Roerdink,Tobias Isenberg",https://doi.org/10.1109/TVCG.2009.138
2009,N/A,Markerless View-Independent Registration of Multiple DistortedProjectors on Extruded Surfaces Using an Uncalibrated Camera.,N/A,"Behzad Sajadi,Aditi Majumder",https://doi.org/10.1109/TVCG.2009.166
2009,N/A,Color Seamlessness in Multi-Projector Displays Using Constrained Gamut Morphing.,N/A,"Behzad Sajadi,Maxim Lazarov,M. Gopi,Aditi Majumder",https://doi.org/10.1109/TVCG.2009.124
2009,N/A,Visual Human+Machine Learning.,N/A,"Raphael Fuchs,Jürgen Waser,Meister Eduard Gröller",https://doi.org/10.1109/TVCG.2009.199
2009,N/A,Interactive Visual Optimization and Analysis for RFID Benchmarking.,N/A,"Yingcai Wu,Ka-Kei Chung,Huamin Qu,Xiaoru Yuan,S. C. Cheung",https://doi.org/10.1109/TVCG.2009.156
2009,N/A,A Visual Approach to Efficient Analysis and Quantification of Ductile Iron and Reinforced Sprayed Concrete.,N/A,"Laura Fritz,Markus Hadwiger,Georg Geier,Gerhard Pittino,M. Eduard Gröller",https://doi.org/10.1109/TVCG.2009.115
2009,N/A,Interactive Visual Analysis of Complex Scientific Data as Families of Data Surfaces.,N/A,"Kresimir Matkovic,Denis Gracanin,Borislav Klarin,Helwig Hauser",https://doi.org/10.1109/TVCG.2009.155
2009,N/A,Visualization and Exploration of Temporal Trend Relationships in Multivariate Time-Varying Data.,N/A,"Teng-Yok Lee,Han-Wei Shen",https://doi.org/10.1109/TVCG.2009.200
2009,N/A,Isosurface Extraction and View-Dependent Filtering from Time-Varying Fields Using Persistent Time-Octree(PTOT).,N/A,"Cong Wang,Yi-Jen Chiang",https://doi.org/10.1109/TVCG.2009.160
2009,N/A,Visual Exploration of Climate Variability Changes Using Wavelet Analysis.,N/A,"Heike Jänicke,Michael Böttinger,Uwe Mikolajewicz,Gerik Scheuermann",https://doi.org/10.1109/TVCG.2009.197
2009,N/A,Interactive Coordinated Multiple-View Visualization of Biomechanical Motion Data.,N/A,"Daniel F. Keefe,Marcus Ewert,William Ribarsky,Remco Chang",https://doi.org/10.1109/TVCG.2009.152
2009,N/A,Interactive Visualization of Molecular Surface Dynamics.,N/A,"Michael Krone,Katrin Bidmon,Thomas Ertl",https://doi.org/10.1109/TVCG.2009.157
2009,N/A,Stress Tensor Field Visualization for Implant Planning in Orthopedics.,N/A,"Christian Dick,Joachim Georgii,Rainer Burgkart,Rüdiger Westermann",https://doi.org/10.1109/TVCG.2009.184
2009,N/A,Visual Exploration of Nasal Airflow.,N/A,"Stefan Zachow,Philipp Muigg,Thomas Hildebrandt,Helmut Doleisch,Hans-Christian Hege",https://doi.org/10.1109/TVCG.2009.198
2009,N/A,Sampling and Visualizing Creases with Scale-Space Particles.,N/A,"Gordon L. Kindlmann,Raúl San José Estépar,Stephen M. Smith,Carl-Fredrik Westin",https://doi.org/10.1109/TVCG.2009.177
2009,N/A,Volume Illustration of Muscle from Diffusion Tensor Images.,N/A,"Wei Chen,Zhicheng Yan,Song Zhang,John Allen Crow,David S. Ebert,Ronald M. McLaughlin,Katie B. Mullins,Robert Cooper,Zi'ang Ding,Jun Liao",https://doi.org/10.1109/TVCG.2009.203
2009,N/A,A Novel Interface for Interactive Exploration of DTI Fibers.,N/A,"Wei Chen,Zi'ang Ding,Song Zhang,Anna MacKay-Brandt,Stephen Correia,Huamin Qu,John Allen Crow,David F. Tate,Zhicheng Yan,Qunsheng Peng",https://doi.org/10.1109/TVCG.2009.112
